"Bevolking, huishoudens en bevolkingsontwikkeling; vanaf 1899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Perioden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onderwerp,,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bevolking op 1 januari|Naar geslacht|Mannen en vrouwen,x 1 000,.,5104,5163,5233,5307,5384,5460,5537,5616,5696,5772,5858,5951,6033,6133,6235,6340,6433,6527,6618,6675,6754,6865,6978,7081,7196,7308,7416,7522,7621,7728,7825,7936,8062,8183,8290,8392,8475,8557,8640,8729,8834,8923,9008,9076,9129,9220,9304,9543,9716,9884,10027,10200,10328,10436,10551,10680,10822,10957,11096,11278,11417,11556,11721,11890,12042,12212,12377,12535,12661,12798,12958,13119,13270,13388,13491,13599,13734,13814,13898,13986,14091,14209,14286,14340,14395,14454,14529,14615,14715,14805,14893,15010,15129,15239,15342,15424,15494,15567,15654,15760,15864,15987,16105,16193,16258,16306,16334,16358,16405,16486,16575,16656,16730,16780,16829,16901,16979,17082,17181,17282
Bevolking op 1 januari|Naar geslacht|Mannen,x 1 000,.,2521,2550,2584,2622,2660,2699,2737,2777,2817,2855,2899,2945,2987,3037,3088,3141,3188,3236,3282,3311,3352,3410,3465,3516,3574,3629,3683,3735,3785,3838,3886,3943,4006,4068,4124,4177,4221,4264,4307,4353,4408,4454,4497,4530,4558,4603,4634,4748,4838,4926,4998,5084,5146,5198,5256,5321,5391,5460,5529,5619,5686,5754,5838,5924,6001,6091,6178,6262,6317,6383,6465,6550,6624,6676,6722,6772,6837,6872,6907,6945,6994,7048,7082,7103,7124,7150,7185,7224,7274,7317,7358,7420,7480,7535,7586,7627,7662,7697,7740,7793,7846,7910,7972,8015,8046,8066,8077,8089,8112,8156,8203,8243,8283,8307,8334,8373,8417,8475,8527,8581
Bevolking op 1 januari|Naar geslacht|Vrouwen,x 1 000,.,2583,2613,2649,2685,2724,2762,2800,2840,2879,2916,2959,3005,3047,3095,3146,3199,3245,3291,3336,3364,3402,3455,3513,3565,3623,3679,3733,3786,3836,3890,3939,3993,4055,4116,4167,4215,4254,4293,4332,4376,4426,4469,4511,4546,4571,4617,4670,4794,4878,4959,5029,5117,5183,5238,5295,5359,5431,5497,5567,5659,5731,5802,5883,5966,6041,6122,6199,6273,6344,6415,6493,6570,6645,6712,6769,6827,6897,6943,6991,7040,7097,7160,7204,7237,7270,7304,7345,7391,7441,7489,7534,7591,7649,7704,7756,7797,7832,7870,7914,7967,8018,8077,8133,8177,8212,8240,8257,8269,8293,8329,8372,8412,8447,8472,8495,8528,8562,8606,8654,8701
Bevolking op 1 januari|Naar leeftijd|Totaal bevolking,x 1 000,.,5104,5163,5233,5307,5384,5460,5537,5616,5696,5772,5858,5951,6033,6133,6235,6340,6433,6527,6618,6675,6754,6865,6978,7081,7196,7308,7416,7522,7621,7728,7825,7936,8062,8183,8290,8392,8475,8557,8640,8729,8834,8923,9008,9076,9129,9220,9304,9543,9716,9884,10027,10200,10328,10436,10551,10680,10822,10957,11096,11278,11417,11556,11721,11890,12042,12212,12377,12535,12661,12798,12958,13119,13270,13388,13491,13599,13734,13814,13898,13986,14091,14209,14286,14340,14395,14454,14529,14615,14715,14805,14893,15010,15129,15239,15342,15424,15494,15567,15654,15760,15864,15987,16105,16193,16258,16306,16334,16358,16405,16486,16575,16656,16730,16780,16829,16901,16979,17082,17181,17282
Bevolking op 1 januari|Naar leeftijd|0 tot 20 jaar,x 1 000,.,2264,2286,2314,2344,2379,2410,2441,2473,2509,2540,2579,2615,2639,2679,2714,2753,2782,2811,2839,2849,2866,2913,2952,2982,3018,3048,3073,3096,3114,3136,3153,3176,3197,3210,3217,3223,3237,3250,3264,3290,3316,3317,3318,3322,3334,3369,3390,3522,3615,3682,3742,3806,3854,3895,3945,4001,4064,4124,4188,4270,4331,4387,4461,4532,4584,4631,4686,4660,4640,4638,4658,4679,4695,4691,4671,4646,4624,4579,4528,4480,4432,4396,4331,4253,4168,4085,4019,3968,3922,3875,3822,3786,3762,3746,3751,3760,3772,3787,3809,3840,3873,3908,3941,3969,3988,3988,3976,3957,3940,3934,3928,3914,3895,3871,3846,3828,3818,3817,3811,3792
Bevolking op 1 januari|Naar leeftijd|20 tot 45 jaar,x 1 000,.,1732,1762,1791,1824,1855,1885,1918,1947,1977,2002,2031,2065,2101,2137,2180,2221,2262,2307,2346,2368,2404,2441,2482,2526,2570,2616,2664,2712,2760,2812,2862,2910,2979,3048,3108,3162,3193,3221,3252,3268,3303,3351,3392,3419,3441,3462,3495,3521,3541,3576,3597,3639,3654,3656,3658,3667,3684,3703,3713,3742,3756,3783,3816,3862,3921,3993,4034,4154,4237,4316,4400,4490,4574,4650,4722,4801,4895,4973,5053,5144,5247,5350,5444,5531,5617,5704,5788,5874,5958,6025,6088,6173,6175,6169,6157,6128,6091,6059,6026,6003,5976,5962,5943,5900,5842,5776,5705,5629,5570,5529,5490,5459,5430,5391,5350,5311,5284,5281,5291,5335
Bevolking op 1 januari|Naar leeftijd|45 tot 65 jaar,x 1 000,.,802,806,812,819,824,832,838,850,859,876,890,907,929,951,971,988,1004,1020,1040,1060,1084,1107,1134,1160,1188,1215,1242,1265,1291,1311,1333,1358,1383,1409,1437,1464,1489,1519,1543,1573,1602,1631,1661,1683,1694,1715,1741,1796,1833,1875,1916,1961,2002,2042,2081,2123,2162,2193,2234,2275,2311,2338,2364,2388,2404,2425,2468,2503,2531,2564,2589,2611,2633,2651,2672,2692,2724,2748,2767,2782,2797,2820,2843,2867,2902,2935,2954,2969,2994,3029,3077,3118,3232,3338,3425,3503,3570,3636,3710,3786,3863,3942,4023,4103,4177,4253,4324,4404,4480,4551,4619,4689,4689,4694,4714,4754,4792,4824,4840,4841
Bevolking op 1 januari|Naar leeftijd|65 tot 80 jaar,x 1 000,.,272,274,278,281,287,292,298,303,308,311,315,319,320,321,323,330,336,339,344,345,348,351,356,359,364,372,378,389,398,411,418,430,440,451,462,474,485,496,508,524,538,550,562,576,581,593,597,618,636,654,671,690,711,730,747,765,782,801,818,843,864,888,913,935,955,977,996,1019,1044,1066,1089,1112,1133,1155,1177,1201,1222,1236,1259,1281,1303,1319,1332,1343,1351,1359,1387,1412,1434,1459,1478,1496,1515,1529,1544,1558,1579,1596,1617,1635,1652,1658,1667,1676,1693,1715,1743,1768,1799,1841,1890,1927,2030,2122,2202,2273,2337,2395,2460,2515
Bevolking op 1 januari|Naar leeftijd|80 jaar of ouder,x 1 000,.,35,35,37,38,40,42,43,43,43,43,43,44,44,45,47,48,49,50,50,51,52,53,55,55,56,58,59,60,58,59,59,62,63,65,67,69,70,71,72,73,75,75,76,76,78,81,81,86,91,97,100,104,108,114,119,125,130,136,142,148,154,161,168,173,177,186,193,200,209,215,222,228,235,240,249,258,268,278,290,300,312,323,336,345,358,371,382,392,406,418,428,437,444,456,464,476,481,487,493,496,500,517,532,544,558,574,587,601,615,631,648,668,686,703,717,735,749,764,779,799
Bevolking op 1 januari|Naar burgerlijke staat|Totale bevolking,x 1 000,.,5104,5163,5233,5307,5384,5460,5537,5616,5696,5772,5858,5951,6033,6133,6235,6340,6433,6527,6618,6675,6754,6865,6978,7081,7196,7308,7416,7522,7621,7728,7825,7936,8062,8183,8290,8392,8475,8557,8640,8729,8834,8923,9008,9076,9129,9220,9304,9543,9716,9884,10027,10200,10328,10436,10551,10680,10822,10957,11096,11278,11417,11556,11721,11890,12042,12212,12377,12535,12661,12798,12958,13119,13270,13388,13491,13599,13734,13814,13898,13986,14091,14209,14286,14340,14395,14454,14529,14615,14715,14805,14893,15010,15129,15239,15342,15424,15494,15567,15654,15760,15864,15987,16105,16193,16258,16306,16334,16358,16405,16486,16575,16656,16730,16780,16829,16901,16979,17082,17181,17282
Bevolking op 1 januari|Naar burgerlijke staat|Ongehuwd,x 1 000,.,3152,.,.,.,.,.,.,.,.,.,3577,.,.,.,.,.,.,.,.,.,.,4078,.,.,.,.,.,.,.,.,.,4532,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5124,5153,5222,5284,5354,5385,5410,5443,5481,5527,5567,5608,5677,5731,5786,5851,5918,5975,6025,6060,6081,6082,6084,6104,6114,6116,6109,6106,6099,6121,6120,6127,6150,6191,6235,6260,6239,6261,6286,6323,6356,6406,6447,6465,6518,6573,6626,6689,6736,6792,6849,6911,6980,7049,7139,7241,7322,7389,7450,7499,7543,7602,7680,7702,7773,7841,7896,7956,8032,8112,8201,8288,8374
Bevolking op 1 januari|Naar burgerlijke staat|Gehuwd,x 1 000,.,1679,.,.,.,.,.,.,.,.,.,1988,.,.,.,.,.,.,.,.,.,.,2457,.,.,.,.,.,.,.,.,.,3037,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4003,4063,4158,4232,4330,4422,4498,4573,4658,4746,4834,4924,5027,5103,5182,5270,5360,5442,5548,5662,5783,5889,6005,6122,6253,6378,6473,6546,6626,6704,6747,6785,6811,6835,6866,6871,6905,6885,6870,6860,6880,6898,6917,6957,6995,7037,7064,7075,7082,7062,7045,7045,7058,7071,7080,7064,7052,7035,7003,6964,6928,6898,6883,6875,6865,6851,6824,6787,6753,6728,6718,6710,6707
Bevolking op 1 januari|Naar burgerlijke staat|Verweduwd,x 1 000,.,268,.,.,.,.,.,.,.,.,.,283,.,.,.,.,.,.,.,.,.,.,314,.,.,.,.,.,.,.,.,.,335,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,430,430,432,436,440,444,449,454,460,466,472,479,487,495,507,517,527,538,550,563,575,589,602,617,631,645,660,674,688,695,709,723,737,751,765,778,786,798,809,818,827,837,845,854,861,866,872,877,876,878,882,883,863,882,882,882,880,878,877,875,872,870,867,867,866,866,864,863,863,861,860,859,858
Bevolking op 1 januari|Naar burgerlijke staat|Gescheiden,x 1 000,.,6,.,.,.,.,.,.,.,.,.,10,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,.,.,.,.,.,31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,70,73,75,76,78,79,80,81,82,84,85,87,88,81,84,85,87,90,92,96,101,108,115,121,131,145,164,185,214,239,263,287,314,343,377,409,450,490,528,552,574,597,617,636,654,677,701,731,762,791,816,859,862,886,918,939,957,976,996,1015,1036,1056,1131,1151,1172,1196,1222,1253,1279,1302,1325,1343
Bevolking op 1 januari|Naar nationaliteit|Totaal niet-Nederlands,x 1 000,.,"53,0",.,.,.,.,.,.,.,.,.,"70,0",.,.,.,.,.,.,.,.,.,.,"112,1",.,.,.,.,.,.,.,.,.,"175,9",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"103,9",.,.,.,.,.,.,.,.,"106,5","108,3","110,6","108,3","107,0","107,6","112,8","127,5","134,8","142,5","164,9","191,9","181,3","191,1","212,1","241,5","268,0","282,4","296,8","316,3","350,5","376,3","399,8","430,0","473,4","520,9","537,6","546,5","552,4","558,7","552,5","568,0","591,8","623,7","641,9","692,4","732,9","757,4","779,8","757,1","725,4","679,9","678,1","662,4","651,5","667,8","690,4","700,0","702,2","699,4","691,4","681,9","688,4","719,5","735,2","760,4","786,1","796,2","816,0","847,3","900,5","972,3","1040,8","1110,9"
Bevolking op 1 januari|Naar nationaliteit|Amerikaans,x 1 000,.,.,.,.,.,.,.,.,.,.,.,"0,5",.,.,.,.,.,.,.,.,.,.,"0,6",.,.,.,.,.,.,.,.,.,"0,8",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"0,7",.,.,.,.,.,.,.,.,"3,3","3,4","3,3","3,7","4,2","4,2","4,5","5,6","6,3","6,5","7,3","8,0","7,3","7,3","7,4","8,1","8,5","8,8","9,1","9,6","10,0","10,5","10,6","10,6","10,7","10,7","10,6","9,6","10,0","10,4","10,5","10,4","10,4","10,8","10,5","11,4","12,1","13,0","13,4","12,8","12,8","12,6","13,0","13,4","14,1","14,8","15,2","15,4","15,1","14,8","14,6","14,6","14,5","14,9","14,6","14,8","15,3","15,6","15,6","16,2","17,2","18,0","19,6","20,8"
Bevolking op 1 januari|Naar nationaliteit|Belgisch,x 1 000,.,"14,9",.,.,.,.,.,.,.,.,.,"18,3",.,.,.,.,.,.,.,.,.,.,"30,3",.,.,.,.,.,.,.,.,.,"25,4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"25,3",.,.,.,.,.,.,.,.,"20,8","20,8","20,5","20,3","20,2","20,2","20,4","21,2","21,4","20,4","20,1","20,0","19,9","20,0","20,2","20,3","20,4","20,5","20,5","20,7","21,5","21,9","22,2","22,8","23,0","23,3","23,5","23,6","23,7","23,6","22,8","23,0","22,9","23,1","23,3","23,6","23,9","24,0","24,2","24,1","24,1","24,0","24,4","24,8","25,4","25,9","26,1","26,3","26,2","26,1","26,0","26,0","26,2","26,6","26,9","27,2","27,6","28,2","28,8","29,6","30,6","31,9","33,2","34,4"
Bevolking op 1 januari|Naar nationaliteit|Brits,x 1 000,.,"1,3",.,.,.,.,.,.,.,.,.,"2,1",.,.,.,.,.,.,.,.,.,.,"2,3",.,.,.,.,.,.,.,.,.,"2,5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,1",.,.,.,.,.,.,.,.,"4,5","5,0","5,2","5,4","5,7","6,0","6,0","7,1","7,8","7,9","8,4","9,9","9,5","9,2","9,8","11,5","13,0","13,5","14,2","19,5","23,7","26,6","30,0","33,0","35,4","37,9","39,4","41,3","40,8","40,7","38,5","38,0","37,1","37,4","37,5","39,0","41,8","44,1","44,7","43,0","41,1","39,3","39,2","38,8","39,5","41,4","43,6","44,1","43,7","42,5","41,5","40,3","40,2","41,1","41,4","41,4","41,4","41,7","42,3","43,0","44,2","45,3","46,0","47,3"
Bevolking op 1 januari|Naar nationaliteit|Duits,x 1 000,.,"31,9",.,.,.,.,.,.,.,.,.,"37,5",.,.,.,.,.,.,.,.,.,.,"56,4",.,.,.,.,.,.,.,.,.,"102,0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"27,9",.,.,.,.,.,.,.,.,"27,1","27,4","26,9","25,9","25,4","24,9","25,1","25,6","26,1","25,9","26,2","27,4","28,1","29,4","31,3","33,2","35,0","36,8","38,4","40,1","41,0","42,7","43,7","43,3","42,7","42,5","42,3","44,3","44,8","44,8","41,0","40,4","39,4","40,3","41,8","44,3","46,9","49,3","52,1","53,4","53,9","53,5","53,9","54,1","54,3","54,8","55,6","56,1","56,5","57,1","58,5","60,2","62,4","65,9","68,4","71,4","72,8","72,6","72,2","71,8","72,3","73,3","75,0","77,1"
Bevolking op 1 januari|Naar nationaliteit|Italiaans,x 1 000,.,"0,2",.,.,.,.,.,.,.,.,.,"0,4",.,.,.,.,.,.,.,.,.,.,"1,0",.,.,.,.,.,.,.,.,.,"2,6",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,4",.,.,.,.,.,.,.,.,"4,0","5,3","6,5","6,0","5,2","5,9","8,5","10,5","11,4","11,4","12,7","14,2","14,2","14,9","16,3","17,5","18,5","19,3","19,4","19,7","20,0","20,2","20,4","20,7","20,9","21,1","21,0","21,4","20,9","20,3","17,8","17,0","15,9","16,0","16,7","16,9","17,2","17,3","17,5","17,5","17,4","17,3","17,4","17,6","17,9","18,2","18,6","18,7","18,5","18,4","18,5","18,6","19,0","20,3","21,1","21,9","22,6","23,6","25,0","27,1","29,5","32,3","35,5","39,1"
Bevolking op 1 januari|Naar nationaliteit|Voormalig Joegoslavisch,x 1 000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"0,1",.,.,.,.,.,.,.,.,.,"3,3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,1",.,.,.,.,.,.,.,.,"1,0","0,9","0,9","0,9","0,9","0,8","0,8","1,0","1,3","1,3","1,6","2,2","1,7","2,4","4,3","8,0","11,4","11,6","12,0","12,9","13,8","13,6","13,3","13,6","13,7","14,1","14,1","13,6","12,7","12,2","11,7","11,6","11,7","12,1","12,8","13,5","15,1","18,8","24,7","29,9","33,5","32,8","28,4","22,3","15,6","12,9","12,1","11,8","11,6","11,1","10,5","10,0","9,6","9,4","8,5","8,2","8,5","9,4","9,2","9,4","9,8","10,3","10,8","11,6"
Bevolking op 1 januari|Naar nationaliteit|Marokkaans,x 1 000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"0,0",.,.,.,.,.,.,.,.,.,"0,0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"0,0",.,.,.,.,.,.,.,.,"0,0","0,0","0,1","0,1","0,1","0,2","0,2","0,2","0,3","1,7","5,8","14,3","12,6","14,5","17,4","23,0","26,2","27,9","29,6","33,2","42,2","48,2","54,7","62,9","71,8","83,4","93,1","101,5","106,4","111,3","116,4","122,7","130,1","139,2","148,0","156,9","163,7","165,1","164,6","158,7","149,8","138,7","135,7","128,6","119,7","111,4","104,3","97,8","94,4","91,6","86,2","80,5","74,9","70,8","66,6","61,9","56,6","51,0","48,1","44,9","42,3","39,9","38,0","36,5"
Bevolking op 1 januari|Naar nationaliteit|Spaans,x 1 000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"0,0",.,.,.,.,.,.,.,.,.,"0,0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"0,1",.,.,.,.,.,.,.,.,"0,2","0,3","0,3","0,3","0,3","0,4","1,5","5,1","8,5","13,1","19,5","23,4","18,4","19,0","22,6","27,6","31,7","31,4","31,8","31,3","29,1","27,3","25,6","24,5","23,5","23,2","22,7","22,6","21,6","20,7","19,0","18,2","17,6","17,4","17,4","17,2","16,9","16,8","16,9","16,8","16,7","16,6","16,6","16,8","16,9","17,2","17,4","17,5","17,4","17,1","16,9","16,5","16,5","17,3","18,1","19,2","20,3","21,9","23,9","25,3","26,8","28,3","30,3","32,7"
